Region,Producto,Mes,Ventas,Satisfaccion_Cliente,Costo_Operativo
Norte,Producto_A,2023-01,4174,4.5930859737204655,1794
Norte,Producto_A,2023-02,2130,4.559382000545538,2138
Norte,Producto_A,2023-03,3169,3.3119890406724055,830
Norte,Producto_A,2023-04,2482,4.73235229154987,630
Norte,Producto_A,2023-05,2685,3.1128231580542005,2891
Norte,Producto_A,2023-06,2515,4.8771054180315,2933
Norte,Producto_A,2023-07,2215,4.984423118582435,1684
Norte,Producto_A,2023-08,1459,4.223306320976562,2800
Norte,Producto_A,2023-09,1747,3.0461248500828315,974
Norte,Producto_A,2023-10,2082,3.799721943430511,2547
Norte,Producto_A,2023-11,4547,4.9475110376829186,2306
Norte,Producto_A,2023-12,1189,3.1812128690656416,1062
Norte,Producto_B,2023-01,2899,4.028468876827223,2028
Norte,Producto_B,2023-02,4202,4.719880813472641,1146
Norte,Producto_B,2023-03,3068,3.900998503939086,1797
Norte,Producto_B,2023-04,3435,4.8844035113697055,2561
Norte,Producto_B,2023-05,1241,3.770833005079832,1863
Norte,Producto_B,2023-06,3139,3.8803049874792026,1978
Norte,Producto_B,2023-07,4499,3.9903538202225404,534
Norte,Producto_B,2023-08,3253,3.7821212151464816,2085
Norte,Producto_B,2023-09,4943,4.510722820635305,1521
Norte,Producto_B,2023-10,4461,3.4158833257363774,2000
Norte,Producto_B,2023-11,1702,4.684569549189997,2079
Norte,Producto_B,2023-12,1161,3.790300472003629,1495
Norte,Producto_C,2023-01,3317,4.454543991712842,955
Norte,Producto_C,2023-02,4533,3.3919657248382906,1516
Norte,Producto_C,2023-03,4773,3.650660661526529,837
Norte,Producto_C,2023-04,1878,4.657475018303859,2764
Norte,Producto_C,2023-05,1763,4.214068495373369,992
Norte,Producto_C,2023-06,4112,3.592547011408165,564
Norte,Producto_C,2023-07,4928,4.973773873201035,1867
Norte,Producto_C,2023-08,2152,3.397431363068345,1995
Norte,Producto_C,2023-09,4134,4.6309228569096685,891
Norte,Producto_C,2023-10,2698,4.580351081062411,878
Norte,Producto_C,2023-11,2796,4.852601757026698,2588
Norte,Producto_C,2023-12,4099,4.726206851751187,2363
Sur,Producto_A,2023-01,1779,3.6617960497052984,1002
Sur,Producto_A,2023-02,3454,4.337682505327215,1304
Sur,Producto_A,2023-03,3146,4.182595575415454,2070
Sur,Producto_A,2023-04,1960,3.7658537495075795,1985
Sur,Producto_A,2023-05,3690,4.521570097233795,1002
Sur,Producto_A,2023-06,3814,3.5121366455226477,892
Sur,Producto_A,2023-07,1206,3.855082036717099,1984
Sur,Producto_A,2023-08,4762,3.0628583713734683,1063
Sur,Producto_A,2023-09,2020,4.017141382329406,2257
Sur,Producto_A,2023-10,3532,3.49858445829775,2178
Sur,Producto_A,2023-11,4242,3.406122449469539,1683
Sur,Producto_A,2023-12,4910,3.5795029058275363,2319
Sur,Producto_B,2023-01,3625,4.2487080962675865,2097
Sur,Producto_B,2023-02,4060,4.742921180375435,1551
Sur,Producto_B,2023-03,2643,3.3731401177720715,2481
Sur,Producto_B,2023-04,2354,3.648690042010548,2538
Sur,Producto_B,2023-05,4419,3.71259567615395,2737
Sur,Producto_B,2023-06,4296,3.5442644987692704,1806
Sur,Producto_B,2023-07,3680,4.6360295318449865,2268
Sur,Producto_B,2023-08,2282,3.0139042610623816,1979
Sur,Producto_B,2023-09,2434,3.834822006297558,1757
Sur,Producto_B,2023-10,1683,3.4882510444955486,2131
Sur,Producto_B,2023-11,2495,4.406037917790355,1636
Sur,Producto_B,2023-12,2853,4.943564165441922,1063
Sur,Producto_C,2023-01,2291,3.5035645916507283,2136
Sur,Producto_C,2023-02,4696,4.9954809700978835,1198
Sur,Producto_C,2023-03,3160,4.953229911665305,2767
Sur,Producto_C,2023-04,2589,3.066101465801097,2259
Sur,Producto_C,2023-05,4296,4.268702689402728,2161
Sur,Producto_C,2023-06,2153,4.061869166634272,2195
Sur,Producto_C,2023-07,2733,3.484110543023001,1335
Sur,Producto_C,2023-08,4510,4.523239230657435,622
Sur,Producto_C,2023-09,1400,4.456432697223719,2827
Sur,Producto_C,2023-10,4908,4.264611661187159,697
Sur,Producto_C,2023-11,4029,4.071549368149517,2691
Sur,Producto_C,2023-12,1608,3.3014350879308587,686
Este,Producto_A,2023-01,4397,4.3916256135817635,2294
Este,Producto_A,2023-02,1659,3.6519178104037695,2455
Este,Producto_A,2023-03,3450,4.422299064876036,2034
Este,Producto_A,2023-04,1146,3.6973319745834585,2234
Este,Producto_A,2023-05,2843,4.881046528979208,2459
Este,Producto_A,2023-06,2663,4.03550270105496,1140
Este,Producto_A,2023-07,2802,3.682132702100517,2469
Este,Producto_A,2023-08,3198,4.082895947655132,2134
Este,Producto_A,2023-09,1262,4.319968092068358,2893
Este,Producto_A,2023-10,1623,4.110401623198925,1380
Este,Producto_A,2023-11,3049,4.992507399515849,2801
Este,Producto_A,2023-12,4723,4.116586907214195,1683
Este,Producto_B,2023-01,4062,3.6780595820974016,2182
Este,Producto_B,2023-02,3863,4.693322284476611,903
Este,Producto_B,2023-03,3199,3.80901625424438,2196
Este,Producto_B,2023-04,4991,4.701856897535025,2148
Este,Producto_B,2023-05,2443,4.797108377054158,753
Este,Producto_B,2023-06,4298,3.7445655331234864,1996
Este,Producto_B,2023-07,1098,4.947327673510634,2419
Este,Producto_B,2023-08,1877,4.0974675787331725,1456
Este,Producto_B,2023-09,2704,3.3518505053546908,2103
Este,Producto_B,2023-10,3848,3.9877874303668692,1315
Este,Producto_B,2023-11,4987,3.7329375691657196,1915
Este,Producto_B,2023-12,2158,4.441879848504259,1139
Este,Producto_C,2023-01,4104,4.085080461109799,1454
Este,Producto_C,2023-02,4954,4.2726652363717905,1545
Este,Producto_C,2023-03,3797,4.179741695121088,2777
Este,Producto_C,2023-04,4436,3.97348430591891,2299
Este,Producto_C,2023-05,4354,3.8687887310208575,1297
Este,Producto_C,2023-06,4680,4.153807769252718,1459
Este,Producto_C,2023-07,2504,3.390485975596089,1315
Este,Producto_C,2023-08,1658,4.144008398418366,1715
Este,Producto_C,2023-09,4120,3.0872075435088675,1743
Este,Producto_C,2023-10,3205,4.907857154005175,2646
Este,Producto_C,2023-11,4963,3.030913233057735,2827
Este,Producto_C,2023-12,4420,3.8563682966346287,680
Oeste,Producto_A,2023-01,1606,4.927239954178505,1492
Oeste,Producto_A,2023-02,2139,3.5888977841391716,1480
Oeste,Producto_A,2023-03,3975,4.702273343033713,627
Oeste,Producto_A,2023-04,3065,4.1136025249167005,2258
Oeste,Producto_A,2023-05,3613,4.392059593349946,2395
Oeste,Producto_A,2023-06,3733,3.194352987541537,2186
Oeste,Producto_A,2023-07,4009,3.5083272981394775,1909
Oeste,Producto_A,2023-08,1784,4.697339589849349,745
Oeste,Producto_A,2023-09,4247,4.105639953815816,2205
Oeste,Producto_A,2023-10,3806,3.8395617128925528,2341
Oeste,Producto_A,2023-11,1920,4.223027421731361,2029
Oeste,Producto_A,2023-12,3950,4.003032589374399,1184
Oeste,Producto_B,2023-01,1019,4.29992786155553,899
Oeste,Producto_B,2023-02,3701,4.780010683635132,1666
Oeste,Producto_B,2023-03,2115,4.157729791015117,2323
Oeste,Producto_B,2023-04,3774,4.344052270590399,550
Oeste,Producto_B,2023-05,4736,3.3100832334554884,1648
Oeste,Producto_B,2023-06,3197,4.1816665211380215,2852
Oeste,Producto_B,2023-07,2715,3.077669468858846,1577
Oeste,Producto_B,2023-08,4050,3.2541210253037693,2811
Oeste,Producto_B,2023-09,4124,3.543085831639484,504
Oeste,Producto_B,2023-10,2126,3.170694929987536,1376
Oeste,Producto_B,2023-11,1991,4.062709263136296,546
Oeste,Producto_B,2023-12,3914,4.2748598029964135,768
Oeste,Producto_C,2023-01,1369,4.03260069660239,2193
Oeste,Producto_C,2023-02,2682,4.590372389537407,1330
Oeste,Producto_C,2023-03,2810,3.877942841411272,2474
Oeste,Producto_C,2023-04,2369,3.0507014868309152,616
Oeste,Producto_C,2023-05,2853,4.671960241024411,2431
Oeste,Producto_C,2023-06,2012,3.116387191016887,1133
Oeste,Producto_C,2023-07,1512,3.884704459462209,1619
Oeste,Producto_C,2023-08,4709,3.1877465801625835,987
Oeste,Producto_C,2023-09,4308,3.5598677938918857,1712
Oeste,Producto_C,2023-10,1703,4.108708105022801,2794
Oeste,Producto_C,2023-11,4147,4.132074420988152,1496
Oeste,Producto_C,2023-12,4157,3.0287869772595117,1743
